evaluation,offline_var_0,offline_var_1,offline_var_2,offline_var_3,offline_var_4,offline_var_5,offline_var_6,offline_var_7,offline_var_8,offline_var_9,offline_var_10,offline_var_11,offline_var_12,offline_var_13,offline_var_14,offline_var_15,offline_var_16,offline_var_17,offline_var_18,offline_var_19,offline_var_20,offline_var_21,offline_var_22,offline_var_23,offline_var_24,offline_var_25,offline_var_26,offline_var_27,offline_var_28,offline_var_29,offline_var_30,offline_var_31,offline_var_32,offline_var_33,offline_var_34,offline_var_35,offline_var_36,offline_var_37,obj_Maximize_Volume,con_Maintain_L/D_Ratio,38_DV_Model_cl,38_DV_Model_cd,38_DV_Model_Volume,38_DV_Model_CL,38_DV_Model_CD,38_DV_Model_K,38_DV_Model_-CL,38_DV_Model_-CD,38_DV_Model_-K,convergence_metric,acqf_value
11,-0.0995385,-0.046982504,0.138025027,-0.007412668,0.200267405,0.153454236,-0.09970771,-0.001351566,-8.49E-05,-0.020787057,-0.119125632,-0.017511916,-0.069458606,0.335617616,0.440648741,-0.001399084,0.114183095,0.292787389,0.104078121,0.385810079,0.258625627,0.037922714,-0.000732441,0.104807842,0.005422456,0.017176684,-0.036750825,0.097556642,0.068077457,0.091755789,0.008331492,0.00081334,-0.163879151,-0.198570826,0.022923428,-0.045051922,-0.098832542,-0.020839233,12.57054477,-0.764361657,4.070582403,1.093498951,12.57054477,4.070582403,1.093498951,3.722529774,-4.070582403,-1.093498951,-3.722529774,0.082194207,
12,0.020074924,0.27713539,-0.000757538,0.055736058,0.091985563,0.00143475,0.122231825,-0.067618399,0.069038516,0.011248575,-0.08306152,-0.007724493,0.36258067,-0.072742542,0.246961805,0.389352875,-0.002015461,0.052494896,-0.026291639,-0.008201005,0.036605493,0.094137413,0.211098742,0.290203441,0.094007616,0.055349036,0.191869547,0.167560749,0.035223388,0.048204293,-0.080351718,-0.065853321,-0.03198422,-0.11042724,-0.036266972,0.001499763,-0.047851208,-0.053193746,10.85311262,-0.691870433,3.535328842,0.931570298,10.85311262,3.535328842,0.931570298,3.795020997,-3.535328842,-0.931570298,-3.795020997,0.082194207,
13,0.346813309,-0.009243648,0.121564945,-0.12956754,-0.006891942,-0.085107418,-0.029381532,0.083447921,-0.162246268,-0.188731562,-0.008380258,-0.067006742,0.119971318,0.417076764,0.065535059,0.043249354,0.21577905,0.195969971,0.199553415,0.234376809,0.201333673,0.132499351,0.049012338,-0.018631172,0.058996975,0.125154131,0.067877084,0.05526808,0.125718629,0.028167386,0.065184742,0.078583382,-0.085116881,-0.045751288,-0.151769686,-0.119111823,-0.068359873,-0.004605584,12.34524878,-0.588387746,3.929574891,1.007970034,12.34524878,3.929574891,1.007970034,3.898503685,-3.929574891,-1.007970034,-3.898503685,0.082194207,
14,0.32910379,0.223807273,0.189023642,-0.188580458,-0.086395512,-0.162499932,0.078673152,-0.106435059,0.013415614,-0.063597117,-0.070915348,-0.1044412,0.452120766,0.241878524,0.167005064,0.156841844,0.196811461,0.268278293,-0.008054109,0.096879057,0.05812778,0.228531678,0.168356686,0.018273649,0.032298208,0.064541641,0.143685429,0.131336418,0.004351548,0.006458787,-0.071818844,-0.009834834,-0.110432003,-0.121443101,-0.026502365,-0.042802206,-0.116380408,0.009676812,12.05245528,-0.893017679,3.476739802,0.967407328,12.05245528,3.476739802,0.967407328,3.593873752,-3.476739802,-0.967407328,-3.593873752,0.082194207,
15,0.105863057,0.037685905,-0.063037203,0.10616851,0.000682698,0.147068897,-0.058925707,0.090538528,-0.17634562,-0.113369021,0.011667993,0.027578377,0.170757317,0.065167978,0.210862721,0.289810074,0.016537925,0.123844821,0.249754671,0.338857647,0.223539226,-0.019363013,0.093652364,0.253453958,0.124773441,0.114893366,0.021560464,-0.026623595,0.09475955,0.077284814,0.082094126,0.046796779,-0.07290662,-0.05722993,-0.140238305,-0.078875615,0.000186529,-0.066599162,12.47501841,-0.620280426,3.708413012,0.959086137,12.47501841,3.708413012,0.959086137,3.866611004,-3.708413012,-0.959086137,-3.866611004,0.082194207,
16,-0.048461307,0.192620753,0.051181084,-0.053554373,0.144181259,0.094802138,0.018068116,0.039232684,-0.110832527,-0.14564743,-0.046863088,-0.052485357,0.337304937,0.473522999,0.334558392,-0.037546418,0.095651905,0.362737107,0.312638521,-0.077255814,-0.018797874,0.04669361,0.283639162,0.056634728,-0.02892844,0.17378008,0.125269865,0.021844607,0.042220951,0.062675076,-0.004298304,-0.082281889,-0.18928581,0.027822323,-0.188690944,-0.138392926,-0.050829175,-0.034241558,12.43861231,-1.328977863,3.720525033,1.178159235,12.43861231,3.720525033,1.178159235,3.157913568,-3.720525033,-1.178159235,-3.157913568,0.082194207,
17,0.140752889,-0.095193831,0.023624785,0.237440058,-0.198733404,-0.016710145,-0.147356799,-0.053292031,-0.056300075,0.022777323,-0.146813604,-0.111416292,-0.018652332,-0.01628727,-0.017966565,0.245207101,0.314961717,0.027985802,0.086704903,0.161696804,0.149007724,0.148318349,-0.045010222,0.214934849,0.178453168,0.006513514,0.009534347,0.193380906,0.132763012,0.013667006,0.037528684,0.070063613,0.00632431,-0.151719203,-0.071344798,-0.004396146,-0.030307484,-0.081166033,11.33032306,-0.38888492,3.743062187,0.9133861,11.33032306,3.743062187,0.9133861,4.098006511,-3.743062187,-0.9133861,-4.098006511,0.082194207,
18,0.154227732,0.170804191,0.133420371,-0.165924628,0.120598083,0.127611485,-0.041707465,0.033296907,-0.006773399,-0.162535609,-0.14283883,-0.083625777,0.411804282,-0.048224877,0.420149949,0.1063298,0.25783532,0.060116403,0.29576147,0.013350607,0.270715593,0.121488947,-0.028333899,0.237807237,0.051494645,0.189572341,-0.004737956,0.186280537,0.062113212,0.073071835,-0.032445875,0.008370348,0.037916734,-0.010191234,-0.083931756,-0.051036341,-0.016624692,-0.014725407,11.95626473,-0.959884745,4.114808278,1.166657352,11.95626473,4.114808278,1.166657352,3.527006685,-4.114808278,-1.166657352,-3.527006685,0.082194207,
19,-0.069321404,-0.118650918,-0.045077825,0.092294263,-0.034282756,-0.161357178,0.097134528,-0.047502941,-0.086425025,0.039176702,-0.03989979,0.008868633,0.056613926,0.355047529,-0.033708122,0.325454011,0.127301161,0.21969956,0.043582783,0.250710429,0.099794164,0.092182931,0.290171622,0.011206188,0.131385051,-0.009062242,0.107636317,0.029025592,-0.027638395,0.003182019,0.022421428,-0.045529343,-0.158668128,-0.175597151,-0.197640097,-0.087109153,-0.067105202,-0.050059641,12.76682126,-0.714301443,3.481132209,0.92274332,12.76682126,3.481132209,0.92274332,3.772589988,-3.481132209,-0.92274332,-3.772589988,0.082194207,
20,0.120368059,0.244649714,0.107451626,-0.039479131,-0.172016031,-0.007876703,-0.13064471,-0.116090046,-0.156281574,-0.048674045,0.013183167,-0.045901821,0.227074265,0.164784542,0.0470809,-0.058158922,-0.040342222,-0.020596816,0.038806053,0.127836931,0.194835524,0.005420658,0.087119898,0.196762531,-0.002116656,0.076440242,0.039730588,-0.033980444,0.119744028,0.016943781,-0.088132577,0.086634711,-0.04084558,-0.090552337,-0.131236857,-0.125517804,-0.012129772,-0.030902046,10.86423273,-0.305058994,4.1096141,0.982730456,10.86423273,4.1096141,0.982730456,4.181832437,-4.1096141,-0.982730456,-4.181832437,0.082194207,
21,0.309361971,0.063450121,0.003992785,0.21498549,0.227048704,0.08012352,0.035877095,0.100105378,0.058862029,-0.127804304,-0.060795967,-0.12152116,-0.053520276,0.292382682,0.260922224,0.250743249,0.229190603,0.299005261,0.262871712,0.367783972,0.021527941,0.185360985,0.151680377,0.052429609,0.192711606,0.10321127,0.157421155,0.138729747,0.029950822,0.066888047,0.054275669,-0.074686658,-0.079345705,-0.040474782,-0.01397526,0.00847838,-0.106384257,-0.092153608,12.17125231,-0.422100463,3.286426232,0.808510513,12.17125231,3.286426232,0.808510513,4.064790968,-3.286426232,-0.808510513,-4.064790968,0.082194207,
22,0.361209145,0.296488262,-0.077146524,0.274000524,0.177675332,0.171057686,-0.080075173,-0.062165933,-0.169788668,-0.003663818,-0.009588321,-0.128367401,0.2886113,0.449015075,0.228912407,0.189321257,0.160265565,0.341309127,-0.069398885,-0.037344856,0.21701934,0.17665939,0.04384385,0.089122264,0.15837564,0.040013102,0.053847382,0.063045616,0.100026064,0.088479136,-0.057864504,0.043530568,-0.11645776,-0.130743898,-0.146412942,-0.08486226,-0.084512158,-0.077864447,11.14597432,-0.421094549,3.137514785,0.771685078,11.14597432,3.137514785,0.771685078,4.065796882,-3.137514785,-0.771685078,-4.065796882,0.082194207,
23,0.000173717,0.005187449,0.193776822,-0.089913723,-0.232959928,-0.142892478,0.063090458,0.078141691,0.002646869,-0.174307968,-0.092873791,-0.03552172,0.044138589,0.045733365,0.153176504,0.019158759,0.02821611,0.020866755,0.182690781,0.203640176,0.043029115,0.066522274,0.195786412,0.15989381,0.021025943,0.140273981,0.173506294,0.159644054,0.010321276,-0.012254193,0.099158593,-0.005789664,-0.062350358,-0.080203556,-0.034449903,-0.036067288,-0.034019073,-0.044300799,11.69747318,-0.53559081,4.098930442,1.037362336,11.69747318,4.098930442,1.037362336,3.95130062,-4.098930442,-1.037362336,-3.95130062,0.082194207,
24,-0.086189607,0.120965194,0.019013845,0.138438108,-0.122695375,-0.089164349,-0.010403685,0.024457019,-0.0623963,-0.084750631,-0.123495261,-0.000435537,0.47336218,0.236000348,0.002396182,0.353881032,0.058813671,0.259755612,0.374931625,0.058898131,0.161118468,-0.003916564,0.014579906,-0.036764636,0.104673159,0.150113416,-0.018825205,0.105063288,0.138041083,0.032380243,-0.015245403,0.063962384,-0.195688766,0.007947483,0.021158655,-0.010800385,-0.088960133,-0.063455197,13.05671406,-0.724770912,3.639241506,0.967337832,13.05671406,3.639241506,0.967337832,3.762120518,-3.639241506,-0.967337832,-3.762120518,0.082194207,
25,0.240248767,-0.062080104,0.065145879,-0.220648915,0.036252016,0.023806339,0.142452813,-0.010435563,-0.10052438,-0.037175757,-0.024246552,-0.076406189,0.154288512,0.108411515,0.318685198,0.093824056,0.326738156,0.10101275,0.150953157,0.294986074,-0.009119694,0.235056525,0.245702511,0.285954285,0.082219234,0.029315107,0.09152163,-0.007932618,0.048201036,0.051480954,0.02968543,-0.076962666,0.016503373,-0.156995756,-0.094371659,-0.131411355,0.005281309,-0.000432736,12.48050301,-0.611964527,3.697484852,0.954207639,12.48050301,3.697484852,0.954207639,3.874926903,-3.697484852,-0.954207639,-3.874926903,0.082194207,
26,0.20835105,0.202453067,0.037193201,-0.071349085,-0.027003146,0.072287977,-0.108204803,-0.082765111,-0.198819169,-0.114925189,-0.033259257,-0.097176282,-0.002410444,0.270122828,0.090250915,0.207509643,-0.024558068,0.330448511,-0.040876187,0.134600062,0.24544383,0.054907995,0.029471555,0.109480432,0.007583796,0.184443561,0.135625171,0.148980651,-0.005176074,0.032912734,-0.063009816,-0.053905945,0.020196311,-0.115360158,-0.181614862,-0.011973117,-0.04279775,-0.098952926,11.5783093,-0.69254881,3.86675807,1.019085111,11.5783093,3.86675807,1.019085111,3.794342621,-3.86675807,-1.019085111,-3.794342621,0.082194207,
27,-0.118073626,0.072113253,0.084492915,0.253956756,0.065441847,-0.037449645,0.053636946,0.068769637,0.03194173,-0.07087213,-0.115842616,0.023940873,0.31636926,0.074708716,0.286426819,-0.015290923,0.207439242,-0.050162822,0.215088165,0.376418375,0.079983016,0.154431776,0.23251766,0.13954594,0.143145232,-0.005015071,-0.001554233,0.066193634,0.084618761,0.043295066,0.079401596,0.090829731,-0.145112294,-0.065044221,-0.063841582,-0.146177751,-0.075868823,-0.024179437,11.96073238,-0.396817776,3.628656604,0.887186127,11.96073238,3.628656604,0.887186127,4.090073655,-3.628656604,-0.887186127,-4.090073655,0.082194207,
28,0.035919256,0.161426502,-0.096412297,-0.206102797,0.203144722,-0.191027062,-0.019705214,0.000102042,-0.032448762,0.030120637,-0.101886353,-0.059014657,0.182626969,0.482552142,0.411329256,0.372422444,0.280318734,0.188257824,0.347334315,0.004684627,0.127223169,0.222627929,0.062839274,-0.013765661,0.068503602,0.074316418,0.148917095,0.018661224,0.052457721,0.096647446,-0.007771003,-0.025919587,-0.027271439,0.019537857,-0.004622819,-0.065134806,0.014061183,-0.056963446,13.42350757,-0.929411163,4.05106392,1.138745296,13.42350757,4.05106392,1.138745296,3.557480268,-4.05106392,-1.138745296,-3.557480268,0.082194207,
29,0.397033432,-0.077168826,0.175683298,0.122957575,-0.133423218,0.119872694,0.114456741,-0.01606645,-0.130210082,-0.144281384,-0.001935821,-0.107065171,0.426223493,0.011445439,-0.093513857,0.059726945,0.112346771,0.089684437,0.119497694,0.243915379,-0.040623793,-0.027513105,0.175766831,0.262944844,0.089155128,0.105970633,0.017061596,0.085985735,0.142204954,-0.012804305,0.047117884,0.013736321,-0.09704639,-0.145180984,-0.118828824,-0.029267947,-0.097602265,-0.007677806,10.96299811,-0.488423738,3.338485696,0.834941271,10.96299811,3.338485696,0.834941271,3.998467693,-3.338485696,-0.834941271,-3.998467693,0.082194207,
30,0.276739427,0.103268959,0.088107017,0.038196948,-0.209014957,0.028427174,-0.069698956,0.053916466,-0.019731862,-0.020325558,-0.074201105,-0.141676427,0.103745651,0.130661635,0.010699332,0.140777767,0.080906107,0.131578843,0.327105218,0.080163044,0.280526208,0.103512049,0.107136974,0.215476347,0.116266701,0.05582044,0.194180129,0.039897491,-0.012228187,0.018383353,-0.039983635,-0.095206441,-0.130256596,-0.027369797,-0.043350008,-0.110757841,-0.058338267,0.006363229,12.17669749,-0.442659989,3.561790549,0.880708881,12.17669749,3.561790549,0.880708881,4.044231442,-3.561790549,-0.880708881,-4.044231442,0.082194207,
31,0.087866093,-0.025635305,-0.014179572,-0.112761719,0.139165451,-0.056376508,0.087837599,-0.038139839,-0.073731179,-0.095202988,0.028036113,-0.020910543,0.383463433,0.326084766,0.379046052,0.307263684,0.311392691,0.231066763,0.071288005,0.318122146,0.111996646,0.144002796,0.132687114,0.033547494,0.038164665,0.123831091,0.064346123,0.182865473,0.077607658,0.057853816,0.004956265,0.057230334,-0.044874367,-0.192551419,-0.159265838,0.009647187,-0.025254152,-0.070181159,13.51489698,-0.812817806,3.677750158,1.001000669,13.51489698,3.677750158,1.001000669,3.674073625,-3.677750158,-1.001000669,-3.674073625,0.082194207,
32,-0.032087205,0.259123804,0.151511752,0.164906425,0.028870409,-0.110202721,-0.140102798,-0.091729318,-0.143985436,-0.19498031,-0.053304784,-0.013833811,-0.081271488,-0.081763798,0.186297643,-0.024059869,0.176440696,-0.009697309,0.006527764,-0.060511249,0.179553099,0.19805876,-0.015145886,0.177072568,0.177081299,0.168925709,0.090330922,0.111934722,0.025784024,0.082088903,-0.082946775,-0.022082756,-0.178231139,-0.103937658,-0.110841783,-0.057849968,-0.115150256,-0.03739364,10.24868443,-0.506957874,4.218337155,1.059901402,10.24868443,4.218337155,1.059901402,3.979933557,-4.218337155,-1.059901402,-3.979933557,0.082194207,
33,0.19151746,0.021964023,-0.025818762,0.009120796,-0.067561063,0.175776415,0.00774287,0.105712679,0.046303797,0.010733544,-0.12798603,-0.061533012,0.273625476,0.389333884,0.127154496,0.23220355,0.006855824,0.369999491,0.234219077,0.182344828,0.014775594,0.028749095,0.275277135,0.072109304,-0.015944675,0.011584409,-0.04880755,-0.014643166,0.115490269,0.001725326,0.074091244,0.034847831,0.002684744,-0.054084392,0.001520792,-0.1068534,-0.003499383,-0.084908695,12.19764362,-0.748220132,3.385593154,0.905560528,12.19764362,3.385593154,0.905560528,3.738671298,-3.385593154,-0.905560528,-3.738671298,0.082194207,
34,0.176717475,0.096064124,-0.003591959,-0.228534296,0.161741971,0.116031228,-0.126011677,0.073201148,-0.084968646,-0.171200105,-0.096413088,0.025158013,-0.079597008,0.142559686,-0.010531937,0.132370252,0.035256543,0.175448734,0.156368777,0.274197858,-0.024780326,0.212565444,0.171662762,0.184628074,0.101826445,0.182045364,-0.007831011,0.045759871,0.075794872,0.029990869,0.06870542,-0.056829731,-0.117887454,-0.099723103,-0.193307308,-0.008452025,-0.062143515,-0.090257596,11.47077544,-0.764661189,4.448974455,1.195244293,11.47077544,4.448974455,1.195244293,3.722230242,-4.448974455,-1.195244293,-3.722230242,0.082194207,
35,-0.046828754,-0.037762316,0.119755964,0.12895833,-0.247453877,-0.19341887,0.031221514,-0.089108773,-0.012672996,0.001515536,0.003515148,-0.101229229,0.239182832,0.314620105,0.322911348,0.298856087,0.153103198,0.095476047,0.384088273,0.034309186,0.153613421,0.034812644,0.066922015,0.085636713,0.081166357,-0.002395504,0.111701456,0.173270785,-0.013231387,0.053721422,-0.085408376,0.093753564,-0.064694779,-0.049308956,-0.08097322,-0.129064254,-0.021417835,-0.029435151,13.40231501,-0.528347792,3.657360311,0.923915623,13.40231501,3.657360311,0.923915623,3.958543639,-3.657360311,-0.923915623,-3.958543639,0.082194207,
36,0.074115699,0.268325318,-0.057346923,-0.080098729,-0.107952271,-0.047734024,-0.046358564,-0.02096818,0.056126548,-0.042232569,-0.027456877,-0.113925948,0.110107463,-0.093844563,0.241862487,-0.032467562,0.333729757,0.335768537,0.177268753,0.344238068,0.053171113,0.097584799,0.225677584,0.228493617,0.163018018,0.070227969,0.042975606,0.121529385,0.105330925,0.086235946,0.000983816,-0.035483643,-0.197194607,-0.023063671,-0.01816737,-0.082579909,-0.110255738,-0.051491315,12.80953265,-0.867055324,3.726848405,1.029562747,12.80953265,3.726848405,1.029562747,3.619836106,-3.726848405,-1.029562747,-3.619836106,0.082194207,
37,0.263097758,0.032805663,0.141040354,0.281148432,0.053399218,0.063866543,0.101772184,0.006912378,-0.149563522,-0.08798007,-0.110018626,-0.049362675,0.353703841,0.400688918,0.148955626,0.223796231,0.051895364,-0.063443553,-0.078578416,0.106936828,0.229850953,0.129086833,0.036290302,0.041929161,0.027465581,0.110280478,0.153203607,-0.020505528,0.016264268,-0.009867583,-0.040641965,0.023300424,0.013960873,-0.187908759,-0.134111665,-0.033783678,-0.008431103,-0.016586199,10.59445795,-0.019145799,3.353449627,0.750590992,10.59445795,3.353449627,0.750590992,4.467745632,-3.353449627,-0.750590992,-4.467745632,0.082194207,
38,0.383828442,0.219908901,0.057562314,0.224279856,0.101676292,0.184391354,-0.015039303,-0.044919067,0.00961788,0.036436687,-0.058822033,-0.019317432,0.18095028,0.258228632,0.042865261,0.215946626,0.132950517,-0.015019611,0.257457003,0.208884389,0.031648577,0.225177801,0.268458768,-0.006207567,-0.006871255,0.059962566,0.058038073,0.147332679,0.091234575,0.015468572,0.046459553,-0.091892362,0.039399832,0.017117319,-0.029921292,-0.128451499,-0.0389573,-0.002328905,10.40462591,0.125753923,3.300660805,0.715567869,10.40462591,3.300660805,0.715567869,4.612645353,-3.300660805,-0.715567869,-4.612645353,0.396175664,
39,0.022806402,0.087928162,0.031319361,-0.031812682,-0.047864447,-0.100114893,0.147102374,0.058849304,-0.172316463,-0.167103353,-0.133481016,-0.146055944,0.460668489,0.086159244,0.273877541,-0.006854307,0.252307898,0.383278838,0.029648493,-0.027145199,0.207645817,-0.015974254,-0.008306181,0.276474842,0.186159747,0.119467608,0.170287687,0.079067796,0.002255156,0.068272628,-0.011743454,0.053916303,-0.15614837,-0.148162403,-0.144098819,0.005545934,-0.079678471,-0.064921935,12.68780012,-1.043374475,3.486421386,1.01245948,12.68780012,3.486421386,1.01245948,3.443516956,-3.486421386,-1.01245948,-3.443516956,0.396175664,
40,-0.132311357,0.142788686,0.181508902,0.08496303,-0.16014125,-0.054177826,-0.075420918,0.112028893,-0.106208032,-0.123114494,-0.080047333,-0.068725886,-0.008769894,0.494629053,0.424381337,0.380859149,0.234498286,0.144386554,0.04900573,0.289683385,0.084154851,0.043505709,0.12860467,0.122495111,0.054453581,0.171377557,-0.022924812,0.005787059,0.146101108,0.071684491,0.076939994,-0.012908898,-0.039408147,-0.117872282,-0.099265135,-0.054080159,0.009125063,-0.042869281,12.97125782,-0.663406205,4.037706057,1.056027634,12.97125782,4.037706057,1.056027634,3.823485226,-4.037706057,-1.056027634,-3.823485226,0.396175664,
41,0.194121466,-0.090885268,-0.069525362,-0.175956467,0.245235899,0.03246481,0.058459394,-0.096188278,-0.060695218,-0.04605513,0.022168308,-0.0038113,0.346126634,0.000104537,-0.046631005,0.06816374,-0.045723198,0.225272881,0.304940083,0.04875695,0.263231906,0.151472358,0.111240756,0.147925015,0.132550151,0.008911177,0.094648707,0.087633717,0.056987631,0.004654507,-0.06839564,0.025674022,-0.076993544,-0.067892879,0.018536617,-0.09015422,-0.092703613,-0.076003498,12.0369645,-0.715732373,3.685215769,0.977210378,12.0369645,3.685215769,0.977210378,3.771159057,-3.685215769,-0.977210378,-3.771159057,0.396175664,
